name,employer_code,location,contact_phone,project_manager,description,po_co_number,is_accommodation_provided,deployment_date,award_date,start_date,end_date,revised_completion_date,actual_start_date,actual_end_date,status,current_attributable_to,on_hold_reason,termination_date,termination_reason,contract_value,revised_contract_value,budget,variation_order_value,actual_cost_incurred,misc_cost
Metro Rail Phase 3 Construction,BSE-0001,Bangalore,9876543210,Rajesh Mehta,Construction of 25km metro rail corridor including 18 stations,PO/2024/MR/001,yes,2024-01-15,2023-12-01,2024-02-01,2025-12-31,2026-02-28,2024-02-05,,active,,,,,5000000000,5200000000,5100000000,150000000,1200000000,25000000
Highway Expansion NH-48,BSE-0002,Delhi-Jaipur,9876543220,Sunita Sharma,Widening of NH-48 from 4-lane to 6-lane for 85km stretch,CO/2024/HW/045,no,2023-11-20,2023-10-15,2023-12-01,2025-05-31,,2023-12-01,,active,,,,,2500000000,2650000000,2600000000,100000000,800000000,15000000
Smart City Infrastructure,BSE-0003,Pune,9876543230,Vikram Patil,Development of smart city infrastructure including roads and utilities,PO/2024/SC/023,yes,2024-03-01,2024-01-15,2024-04-01,2024-12-31,,,,planning,,,,,1200000000,,1150000000,0,0,0
Residential Complex - Skyline Towers,BSE-0004,Mumbai,9876543240,Amit Desai,Construction of 3 residential towers with 450 units and amenities,PO/2024/RC/089,no,2024-02-15,2024-01-20,2024-03-01,2025-08-31,,2024-03-05,,active,,,,,850000000,870000000,860000000,20000000,250000000,8000000
Commercial Mall Construction,BSE-0005,Chennai,9876543250,Priya Menon,Construction of 5-story commercial mall with parking and entertainment zone,CO/2024/CM/056,yes,2023-10-01,2023-09-10,2023-11-01,2024-10-31,,2023-11-01,,on_hold,employer,Delay in clearances,,,650000000,680000000,670000000,30000000,180000000,5000000
Industrial Park Development,BSE-0001,Ahmedabad,9876543260,Karan Shah,Development of 200-acre industrial park with infrastructure,PO/2024/IP/034,yes,2024-04-01,2024-02-15,,2026-03-31,,,,planning,,,,,3500000000,,3400000000,0,0,0
Bridge Construction Over Yamuna,BSE-0002,Noida,9876543270,Neha Gupta,Construction of 2.5km cable-stayed bridge connecting Noida to Greater Noida,CO/2024/BR/078,no,2023-08-15,2023-07-01,2023-09-01,2025-02-28,,2023-09-01,,active,,,,,1800000000,1850000000,1820000000,50000000,650000000,12000000
Airport Terminal Expansion,BSE-0003,Kolkata,9876543280,Suresh Kumar,Expansion of existing terminal with additional gates and lounges,PO/2024/AT/012,yes,2024-01-01,2023-11-20,2024-02-01,2025-06-30,2025-08-31,2024-02-10,,active,,,,,4200000000,4350000000,4280000000,150000000,1500000000,35000000
Water Treatment Plant,BSE-0004,Hyderabad,9876543290,Ramesh Reddy,Construction of 500 MLD water treatment plant with distribution network,CO/2024/WT/067,no,2023-12-01,2023-10-25,2024-01-01,2025-09-30,,2024-01-05,,active,,,,,980000000,1020000000,1000000000,40000000,350000000,10000000
IT Park Phase 2,BSE-0005,Bangalore,9876543300,Kavita Nair,Development of IT park with office spaces and support facilities,PO/2024/IT/091,yes,2024-05-01,2024-03-15,,2025-11-30,,,,planning,,,,,750000000,,730000000,0,0,0
